state,county_state,county_fips_code,urbanicity_2,65_plus_yn,COUNT
KY,"MENIFEE, KY",21165,Non-metro counties,N,1521
WA,"WAHKIAKUM, WA",53069,Non-metro counties,Y,124
VT,"WINDHAM, VT",50025,Non-metro counties,N,6407
TN,"SOLANO, CA",06095,Metro counties,N,1
OK,"PUSHMATAHA, OK",40127,Non-metro counties,Y,656
FL,"SEMINOLE, DC",12117,Metro counties,Y,1
TX,"CHESTER, PA",42029,Metro counties,N,7
AL,"PRENTISS, AL",28117,Non-metro counties,N,3
MT,"CARTER, MT",30011,Non-metro counties,N,163
PA,"FULTON, PA",42057,Non-metro counties,Y,949
IA,"LOUISA, IA",19115,Non-metro counties,Y,289
WA,"DOUGLAS, WA",53017,Metro counties,Y,1518
IL,"OGLE, IL",17141,Non-metro counties,N,15295
TX,"WASHINGTON, TX",48477,Non-metro counties,N,8339
TX,"FAYETTE, TX",48149,Non-metro counties,N,4442
VA,"FLOYD, VA",51063,Metro counties,N,2837
WA,"BENTON, WA",53005,Metro counties,N,54867
FL,"FLAGLER, FL",12035,Metro counties,Y,4176
TX,"GUADALUPE, TX",48187,Metro counties,N,40999
IN,"STARKE, IN",18149,Non-metro counties,N,4681
IN,"CLINTON, IN",18023,Non-metro counties,Y,1379
OK,"TEXAS, OK",40139,Non-metro counties,Y,849
TX,"EDGECOMBE, NC",37065,Metro counties,N,2
TX,"JOHNSON, IA",19103,Metro counties,N,2
MS,"LAUDERDALE, MS",28075,Non-metro counties,N,847
OH,"STARK, OH",39151,Metro counties,N,79116
WI,"OZAUKEE, WI",55089,Metro counties,N,20952
IA,"IOWA, IA",19095,Non-metro counties,N,1902
FL,"PALM BEACH, FL",12099,Metro counties,N,308714
MI,"KENT, MI",26081,Metro counties,N,167385
KS,"JEFFERSON, KS",20087,Metro counties,Y,914
TN,"ROCKINGHAM, NH",33015,Metro counties,N,4
VT,"SUFFOLK, NY",36103,Metro counties,N,16
TX,"HARRIS, TX",48201,Metro counties,N,1026337
TN,"CHENANGO, NY",36017,Non-metro counties,N,1
KY,"WAYNE, WV",54099,Metro counties,N,13
WI,"ROCK, WI",55105,Metro counties,Y,6576
VA,"FLOYD, VA",51063,Metro counties,Y,722
AR,"MILLER, AR",05091,Metro counties,Y,1888
AL,"SUFFOLK, NY",36103,Metro counties,Y,1
WA,"WHITMAN, WA",53075,Non-metro counties,Y,974
NY,"RENSSELAER, NY",36083,Metro counties,N,38676
MS,"TALLAHATCHIE, MS",28135,Non-metro counties,N,305
WV,"PENDLETON, WV",54071,Non-metro counties,N,28
NY,"SUFFOLK, NY",36103,Metro counties,Y,72096
TX,"GLOUCESTER, NJ",34015,Metro counties,N,2
WA,"WHATCOM, WA",53073,Metro counties,N,43323
NE,"CUMING, NE",31039,Non-metro counties,Y,363
VA,"ORANGE, VA",51137,Non-metro counties,N,7341
AK,"FAIRBANKS NORTH STAR, AK",02090,Metro counties,N,20225
WA,"YAKIMA, WA",53077,Metro counties,Y,8586
VA,"GREENVILLE, SC",45045,Metro counties,N,1
GA,"COBB, GA",13067,Metro counties,N,165011
WA,"SKAGIT, WA",53057,Metro counties,Y,4548
WA,"BENTON, WA",53005,Metro counties,Y,6984
OK,"TEXAS, OK",40139,Non-metro counties,N,6162
WA,"ASOTIN, WA",53003,Metro counties,Y,1054
AR,"MISSISSIPPI, AR",05093,Non-metro counties,Y,2173
VT,"ALLEGHENY, PA",42003,Metro counties,N,1
ID,"BONNER, ID",16017,Non-metro counties,Y,2434
KY,"CRITTENDEN, KY",21055,Non-metro counties,Y,379
WV,"WAYNE, WV",54099,Metro counties,N,226
TN,"PICKETT, TN",47137,Non-metro counties,N,1641
TX,"FRANKLIN, TX",48159,Non-metro counties,Y,126
AL,"DEKALB, AL",01049,Non-metro counties,Y,1975
ME,"WASHINGTON, ME",37187,Non-metro counties,N,17
ME,"PENOBSCOT, ME",23019,Metro counties,N,31423
TX,"WASHOE, NV",32031,Metro counties,N,22
GA,"UNION, GA",13291,Non-metro counties,Y,1169
