"Notes	""State of Residence""	""State of Residence Code""	""County of Residence""	""County of Residence Code""	""Mother's Pre-pregnancy BMI""	""Mother's Pre-pregnancy BMI Code""	""Pre-pregnancy Hypertension""	""Pre-pregnancy Hypertension Code""	""Year""	""Year Code""	Births"
" AZ""	""04019""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2021""	""2021""	579"
" AZ""	""04019""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2020""	""2020""	454"
" AZ""	""04019""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2021""	""2021""	492"
" AZ""	""04021""	""Underweight <18.5""	""1""	""No""	""2""	""2020""	""2020""	29"
" AZ""	""04021""	""Underweight <18.5""	""1""	""No""	""2""	""2021""	""2021""	42"
" AZ""	""04021""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2020""	""2020""	268"
" AZ""	""04021""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2021""	""2021""	368"
" AZ""	""04021""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2020""	""2020""	239"
" AZ""	""04021""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2021""	""2021""	292"
" AZ""	""04025""	""Underweight <18.5""	""1""	""No""	""2""	""2021""	""2021""	12"
" AZ""	""04025""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2020""	""2020""	122"
" AZ""	""04025""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2021""	""2021""	141"
" AZ""	""04025""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2020""	""2020""	92"
" AZ""	""04025""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2021""	""2021""	93"
" AZ""	""04027""	""Underweight <18.5""	""1""	""No""	""2""	""2021""	""2021""	15"
" AZ""	""04027""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2020""	""2020""	157"
" AZ""	""04027""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2021""	""2021""	125"
" AZ""	""04027""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2020""	""2020""	127"
" AZ""	""04027""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2021""	""2021""	139"
" AZ""	""04999""	""Underweight <18.5""	""1""	""No""	""2""	""2020""	""2020""	17"
" AZ""	""04999""	""Underweight <18.5""	""1""	""No""	""2""	""2021""	""2021""	11"
" AZ""	""04999""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2020""	""2020""	157"
" AZ""	""04999""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2021""	""2021""	162"
" AZ""	""04999""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2020""	""2020""	136"
" AZ""	""04999""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2021""	""2021""	170"
" AR""	""05007""	""Underweight <18.5""	""1""	""No""	""2""	""2020""	""2020""	10"
" AR""	""05007""	""Underweight <18.5""	""1""	""No""	""2""	""2021""	""2021""	17"
" AR""	""05007""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2020""	""2020""	110"
" AR""	""05007""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2021""	""2021""	112"
" AR""	""05007""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2020""	""2020""	91"
" AR""	""05007""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2021""	""2021""	95"
" AR""	""05045""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2020""	""2020""	41"
" AR""	""05045""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2021""	""2021""	65"
" AR""	""05045""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2020""	""2020""	33"
" AR""	""05045""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2021""	""2021""	38"
" AR""	""05119""	""Underweight <18.5""	""1""	""No""	""2""	""2020""	""2020""	17"
" AR""	""05119""	""Underweight <18.5""	""1""	""No""	""2""	""2021""	""2021""	15"
" AR""	""05119""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2020""	""2020""	177"
" AR""	""05119""	""Normal 18.5-24.9""	""2""	""No""	""2""	""2021""	""2021""	187"
" AR""	""05119""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2020""	""2020""	179"
" AR""	""05119""	""Overweight 25.0-29.9""	""3""	""No""	""2""	""2021""	""2021""	177"
